"transaction_id","account_id","transaction_date","posting_date","amount","currency","description","merchant_name","merchant_category_code","transaction_type","category","subcategory","is_recurring","location_city","location_state","location_country","label_source"
"TXN0007026","ACCT041","2024-05-11","","-299.99","EUR","Appliance purchase MediaMarkt","MediaMarkt","5732","debit","shopping","electronics","false","Berlin","BE","DE","manual"
"TXN0007027","ACCT035","2024-05-13","2024-05-14","19","GBP","Refund for returned shoes","JD Sports","5661","refund","shopping","refund","false","Manchester","","GB","manual"
"TXN0007028","ACCT062","2024-05-09","2024-05-12","-89","EUR","Dining at Berlin Cafe","Berlin Cafe","5812","debit","dining","restaurant","false","Berlin","BE","DE","automated"
"TXN0007029","ACCT019","2024-05-13","2024-05-14","1000000","USD","Lottery winnings","California Lottery","","credit","income","windfall","false","Los Angeles","CA","US","manual"
"TXN0007030","ACCT049","2024-05-02","2024-05-03","-75","USD","Monthly gym membership","Gold's Gym","7997","payment","entertainment","fitness","true","Seattle","WA","US","automated"
"TXN0007031","ACCT017","2024-05-12","","-15","CAD","Bank ATM fee","RBC Bank","6011","fee","bank_fees","atm_fee","false","Vancouver","BC","CA","manual"
"TXN0007032","ACCT053","2024-05-13","2024-05-15","0.01","USD","Micro deposit from Plaid","Plaid","","deposit","income","micro_deposit","false","","","","manual"
"TXN0007033","ACCT035","2024-05-14","2024-05-15","-0.0001","JPY","Dust transaction","","","other","uncategorized","","false","","","","manual"
"TXN0007034","ACCT058","2024-05-16","","-49.95","USD","Grocery shopping Safeway","Safeway","5411","debit","groceries","supermarket","false","Austin","TX","US","automated"
"TXN0007035","ACCT027","2024-05-15","2024-05-16","-178","GBP","Hotel booking London","Holiday Inn","7011","debit","travel","hotel","false","London","","GB","manual"
"TXN0007036","ACCT019","2024-05-15","2024-05-17","-29.99","USD","Streaming Hulu subscription","Hulu","4899","payment","entertainment","video_streaming","true","Chicago","IL","US","automated"
"TXN0007037","ACCT053","2024-05-14","2024-05-15","-54.2","USD","Dinner at Sushi Place","Sushi Place","5812","debit","dining","restaurant","false","Denver","CO","US","automated"
"TXN0007038","ACCT049","2024-05-18","","-100","USD","ATM cash withdrawal","","","withdrawal","uncategorized","","false","Seattle","WA","US","manual"
"TXN0007039","ACCT062","2024-05-19","2024-05-20","-200","CAD","Transfer to another account","","","transfer","transfers","interbank","false","Toronto","ON","CA","automated"
"TXN0007040","ACCT035","2024-05-18","2024-05-19","-0.01","INR","UPI transfer micro","","","transfer","transfers","upi","false","Delhi","DL","IN","manual"
"TXN0007041","ACCT053","2024-05-18","2024-05-19","0.01","USD","Test credit micro deposit","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0007042","ACCT019","2024-05-19","2024-05-20","21.75","USD","Refund travel cancellation","Delta Airlines","4511","refund","travel","refund","false","Chicago","IL","US","manual"
"TXN0007043","ACCT049","2024-05-19","2024-05-20","-65.5","USD","Electric bill payment","Seattle City Light","4900","payment","utilities","electricity","true","Seattle","WA","US","automated"
"TXN0007044","ACCT017","2024-05-20","","-120","AUD","Flight booking Melbourne","Qantas","4511","debit","travel","flight","false","Melbourne","VIC","AU","manual"
"TXN0007045","ACCT017","2024-05-22","2024-05-23","-62","USD","Streaming Disney+ monthly","Disney+","4899","payment","entertainment","video_streaming","true","Dallas","TX","US","automated"
"TXN0007046","ACCT058","2024-05-21","2024-05-22","-7.25","USD","Coffee shop Austin","Summer Moon","5814","debit","dining","coffee_shop","false","Austin","TX","US","automated"
"TXN0007047","ACCT041","2024-05-22","2024-05-23","-9.99","USD","Apple Music subscription","Apple","5735","payment","entertainment","music_streaming","true","San Francisco","CA","US","automated"
"TXN0007048","ACCT035","2024-05-23","","-39.9","USD","Dinner at BBQ Joint","BBQ Joint","5812","debit","dining","restaurant","false","Austin","TX","US","automated"
"TXN0007049","ACCT053","2024-05-23","2024-05-24","-0.05","JPY","Test transaction Tokyo","Test","","other","uncategorized","","false","Tokyo","","JP","manual"
"TXN0007050","ACCT027","2024-05-24","","-43.9","EUR","Grocery shopping REWE","REWE","5411","debit","groceries","supermarket","false","Berlin","BE","DE","automated"
